product_name,stars,rating,reviews,curr_price,mrp,processor,ram,image
realme Book (Slim) Core i3 11th Gen,4.4,14488,2112,36999,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.1,919,134,38990,51487,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
HP (2023) Intel 12th Gen N305 Core i3,4.4,32,4,42490,51134,Intel Core i3 Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/r/2/-original-imagregrn6h96s9a.jpeg?q=70
HP Celeron Dual Core,4,1885,263,18990,33390,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/r/-original-imagrs2bqaczkcty.jpeg?q=70
HP Chromebook x360 Intel Celeron Quad Core,3.8,162,19,18990,31156,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,4,233,50,29990,47990,Qualcomm Snapdragon 7c Gen 2 Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/l0r1j0w0/computer/z/m/a/np340xla-ka1in-thin-and-light-laptop-samsung-original-imagcgqvcvcbsun6.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,2754,261,42490,55691,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/9/-original-imagp7pfnchrzxhr.jpeg?q=70
MSI Ryzen 5 Hexa Core 7530U,4.4,220,30,44990,64990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
ASUS EeeBook 12 Celeron Dual Core,4.1,71,8,21990,27990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/9/i/-original-imagpxgqz3hujkrn.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.2,2093,211,35490,39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
